"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USC00049219","VALLEJO, CA US","2024-02-01",,"59","48"
"USC00049219","VALLEJO, CA US","2024-02-02",,"58","46"
"USC00049219","VALLEJO, CA US","2024-02-03",,"56","44"
"USC00049219","VALLEJO, CA US","2024-02-04",,"62","45"
"USC00049219","VALLEJO, CA US","2024-02-05",,"59","49"
"USC00049219","VALLEJO, CA US","2024-02-06",,"60","41"
"USC00049219","VALLEJO, CA US","2024-02-07",,"57","41"
"USC00049219","VALLEJO, CA US","2024-02-08",,"57","37"
"USC00049219","VALLEJO, CA US","2024-02-09",,"58","39"
"USC00049219","VALLEJO, CA US","2024-02-10",,"65","41"
"USC00049219","VALLEJO, CA US","2024-02-12",,"64","42"
"USC00049219","VALLEJO, CA US","2024-02-13",,"59","44"
"USC00049219","VALLEJO, CA US","2024-02-14",,"57","49"
"USC00049219","VALLEJO, CA US","2024-02-15",,"63","47"
"USR0000CPUL","PULGAS CALIFORNIA, CA US","2024-02-01","51","59","48"
"USR0000CPUL","PULGAS CALIFORNIA, CA US","2024-02-02","48","54","44"
"USR0000CPUL","PULGAS CALIFORNIA, CA US","2024-02-03","48","54","44"
"USR0000CPUL","PULGAS CALIFORNIA, CA US","2024-02-04","52","58","46"
"USR0000CPUL","PULGAS CALIFORNIA, CA US","2024-02-05","52","60","46"
"USR0000CPUL","PULGAS CALIFORNIA, CA US","2024-02-06","48","57","41"
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-01",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-02",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-03",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-04",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-05",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-06",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-07",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-08",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-09",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-10",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-11",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-12",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-13",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-14",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-15",,,
"US1CACC0025","MORAGA 2.4 NNW, CA US","2024-02-16",,,
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","2024-02-01","49","56","46"
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","2024-02-02","47","52","44"
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","2024-02-03","45","48","43"
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","2024-02-04","49","55","44"
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","2024-02-05","50","57","47"
"USR0000CBIR","BIG ROCK CALIFORNIA, CA US","2024-02-06","49","53","45"
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-01",,,
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-02",,,
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-03",,,
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-04",,,
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-05",,,
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-06",,,
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-07",,,
"US1CAMR0030","BOLINAS 0.2 W, CA US","2024-02-08",,,
